a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50
5.602955666195130746e-02,8.438654204469819842e-02,8.501829048540465728e-02,3.942088861510004705e-01,2.768326001056208296e-01,2.880653978290939055e-01,5.675740271701564810e-01,9.551885318644559586e-01,3.825392462350685197e-02,7.347440379169325464e-01,9.481025193849546007e-02,6.488419396074550649e-01,3.118665365740103113e-02,6.395448631485728397e-01,2.401964125098539071e-01,1.813745782722899769e-01,3.457572331609841676e-01,5.765363848493899601e-01,6.422732638089680979e-01,1.612399757314509907e-01,5.492361007776288551e-01,1.077504258853259067e-01,1.822001619050150900e-01,3.583859825111735953e-01,2.019255191027248264e-01,5.080493202260406571e-01,1.246872651535458898e-01,7.917927961315991414e-01,7.113878643251777545e-01,2.019328527669469464e-01,5.152349994749360063e-01,2.711715905506421054e-01,3.623157953879119209e-01,4.655876234275482251e-01,9.171700890530729566e-01,9.773230964628558670e-01,5.825817086619865526e-01,4.300273593346064516e-01,2.873450866385950375e-01,8.113302067376813032e-01,9.821127396584685698e-01,9.419534214044333886e-01,2.415756476744201908e-02,4.016687722071421440e-03,7.026880009225433543e-01,6.682531100104404098e-01,9.447900373352908776e-01,9.873925846953169883e-01,8.512898435686082621e-01,3.040393646377839154e-01
1.190524055534484260e-01,6.767474160564457275e-01,3.296352635962583877e-01,1.165295253793315888e-01,2.036915319478028730e-01,1.009942340735654476e-01,4.174724251822502508e-01,9.069370800730945925e-01,3.314441074697356271e-01,6.906124049563751033e-01,2.473427523683162654e-01,4.865439007221258327e-01,2.415492532196705788e-01,7.860069105755784769e-02,3.576505315380451577e-03,8.526618628843078973e-01,1.525947163326834000e-01,7.486263534904928907e-01,4.280663463689252657e-01,9.082184022192002493e-01,6.172421934099070473e-01,3.326148936781321286e-01,6.948521419169505497e-01,1.756287318713125600e-01,8.571673115225368900e-01,7.236198771161950205e-02,6.015346115553321660e-02,4.145992530093796091e-01,7.137568263594677997e-01,8.555511844176019176e-01,9.559173350401650726e-02,4.645136588116859366e-01,8.694858399631152368e-01,5.942921273727342912e-01,9.571647929217177442e-01,9.029633871604992867e-01,8.390622387495300094e-01,8.050480829434227825e-01,6.324398002479648673e-01,4.361551068714417667e-01,3.739817211592482149e-01,2.140236726792715816e-01,1.847842334582472379e-01,2.710289426458307727e-01,1.390689989630610190e-01,3.922724339697226670e-01,9.386060123135626654e-01,8.398604796927369165e-01,5.687306657540487365e-01,3.815621995046217796e-01
5.407228699602778521e-01,7.397693187009446447e-03,7.692555381775194601e-01,8.799584191831563151e-01,2.260716030445678593e-01,5.144861722539373350e-02,5.637097647584017324e-01,9.060001400074465527e-01,7.504433449685147250e-01,8.581942185844504412e-01,7.683520372816592392e-01,9.921370275447671805e-01,1.192330613596801481e-01,4.608030852120391652e-01,6.368246380648184823e-01,8.731711316273444989e-01,2.717798636083484931e-01,6.457034133250140195e-01,1.408913101774920129e-01,1.707354838410335418e-03,2.089898551686759642e-01,7.535877590834013651e-01,6.827921212353249558e-02,2.756927764706971207e-01,9.779393291321311077e-01,6.689060088307089424e-01,9.806962718842124893e-01,8.031780988220627027e-02,4.069193074668049359e-01,8.216247435512169517e-01,7.745606573223492441e-01,4.418064843294592370e-01,3.995527255298314540e-02,3.441651434359080941e-01,2.073944841161479147e-01,9.613740920387764399e-01,7.702689560236630761e-01,7.430817833356510027e-01,3.389843180856511040e-02,3.993939352365183382e-02,7.958621418703326622e-02,7.491252405937075531e-01,8.922572984455302558e-01,5.848588314914635600e-01,2.274561508532993992e-01,8.350726374729131596e-01,4.594480495034292122e-01,1.470895242374572476e-01,9.938229670927053450e-01,7.400150378147970498e-01
1.779680120444683267e-01,4.932620279756727566e-02,2.720276492052534634e-01,5.738336698236580213e-01,4.829253119563911012e-01,4.448130842021120745e-01,6.229826422751859605e-01,3.084624742935350161e-01,7.107516767720962747e-01,2.775313840594678672e-01,3.329757003006950100e-01,2.633589567666693165e-01,4.974054006808945605e-01,4.311728747287663088e-01,9.065777536931085567e-02,2.757114438804243450e-01,7.444486767313104325e-01,9.020490670335558070e-01,7.052410032008568086e-01,9.076628139469932188e-01,5.378097857328111298e-01,2.774202328472473722e-01,4.922951305615376194e-01,4.846056344816362937e-02,5.847568708388251046e-02,9.845519278445350464e-01,3.448781171124838396e-01,9.697055679839388098e-01,6.956234858239306318e-01,3.219869533563339825e-01,1.757921989631761051e-01,2.353558908083730472e-02,2.521066187858880259e-01,6.990193895098576471e-01,6.683569322695566139e-01,6.072299751181934324e-01,4.793187745993195970e-01,9.347445524746065271e-01,1.554778334854580724e-01,9.471903462062181145e-02,7.158787668973747298e-01,3.873328862680032181e-01,4.306946954744831357e-01,3.843281152350738195e-01,6.899180609477323367e-01,1.869782330513051205e-01,7.775234573957240380e-01,9.338947861750491741e-01,9.250976276752198579e-03,3.275563186799634874e-01
2.503672330504391752e-02,7.777221612611731061e-01,7.846961339943042679e-01,8.484968787397879630e-01,4.051804809402566043e-01,9.261517566239797494e-01,7.230320601778695844e-01,2.450444757352739922e-01,7.389019035090113041e-01,6.865309188171414556e-01,4.096940836563942590e-01,8.800485043225283466e-01,1.683580260855310762e-02,5.832094952307306235e-01,3.408066669064153675e-01,3.176555074911804333e-01,6.518126030342514809e-01,2.260346964270028014e-01,5.678768696469164157e-01,6.195058066085582515e-01,4.787846376494083733e-01,7.158478045356273523e-01,3.138466222852021037e-01,4.185337384685585693e-01,7.923164048845615648e-01,9.463569928420753063e-01,8.752941560743117133e-01,7.168588647019265014e-01,5.298468116078699497e-01,7.240922716058557640e-01,4.162625400529226249e-01,2.164611153949669298e-02,8.067372954512813665e-01,5.177010322534769671e-02,2.789369779860386700e-01,3.691723269101256921e-01,3.379348674796681662e-01,1.742058209444952155e-02,4.550853604503473093e-01,6.837358781169590172e-01,7.751862042719699364e-01,3.024597127018022746e-01,6.779011285416368660e-01,4.297923765523784523e-01,3.292345288059703723e-01,8.273860573435576349e-02,8.806306992725840832e-01,8.988801234065890711e-02,3.842089289528045626e-01,6.959791657923217745e-01
8.042187275867169749e-01,7.932519011650365215e-01,8.914970017554098014e-01,9.113817196581770474e-01,9.740081174309873635e-01,8.492792392435331017e-01,4.715040235785866729e-01,9.033569799079443907e-02,7.237360135041646103e-01,5.401091414007801461e-01,9.628042696756320407e-01,3.537107628968572115e-02,5.153697417662204128e-01,2.858771798476535952e-01,5.544694224520685388e-01,5.192956129258591291e-01,1.334056578009498173e-01,6.928028912769494951e-01,6.441503028904758121e-01,6.859455166249075475e-01,7.128037191505758319e-01,2.586292670739495092e-01,5.887589299501773121e-01,2.800514444844696138e-01,3.250024403256851491e-01,3.875418308979492465e-01,2.674434753397239017e-01,2.939007366778356722e-02,5.589547702611614710e-01,2.944054267628115618e-01,7.072424583770160478e-01,1.424181439735340282e-01,9.852773041548553712e-01,3.019522175089405236e-01,2.631566984840971735e-01,6.772447508399749294e-01,4.466704001043181327e-01,4.898540934403221581e-01,2.669244890966188111e-01,4.216460827382634280e-01,1.315411327144327958e-01,2.315039499919726573e-01,9.709401592200976872e-01,2.075965211014439982e-01,7.628434089280340391e-01,6.217235874343294277e-01,3.928224530072298437e-01,1.734303629472691011e-01,3.510998506332339009e-01,6.220396259283544893e-01
4.725163980433854105e-01,7.806688156460589445e-01,6.547480427989238461e-02,1.057472683843551087e-01,7.416816806343912161e-01,1.322612458207024222e-01,2.474586210145333087e-01,9.788040427822148892e-01,9.847341630293745540e-01,4.698207784226537953e-02,3.575743623465188481e-01,2.914621942791910669e-01,6.546571801945733071e-03,3.767288465936194930e-01,3.701615192165133017e-01,9.343004025413403912e-02,8.735431569221027148e-01,5.710735320305425633e-01,2.273413259490126848e-01,8.362863330079293167e-01,6.195744095076607394e-01,3.269706891323711506e-01,7.190813546861947181e-01,5.947044997962592783e-01,5.290894517438227140e-01,4.735385814451187336e-01,6.653457793130153064e-01,6.922511216006795864e-01,9.687184782246055503e-01,1.910132810051891061e-01,9.840335487481657317e-01,6.723218065799909660e-01,2.233949541847281006e-01,2.271964456896565787e-01,4.492127609966068968e-01,7.605588140695399568e-01,4.839977610002619279e-01,1.090481832116152461e-02,5.141321583998750278e-01,6.399336569208210479e-01,8.819832853630482639e-02,8.762458824670635860e-01,6.345214757193810007e-01,6.613602782852023854e-01,5.993287893891643403e-01,7.916552026967618172e-01,8.549639459209659176e-01,3.479149394098213222e-01,7.340610490443971736e-01,8.389717939570183747e-01
6.740596776612214347e-01,2.897331233909894443e-01,5.306788274362755908e-01,4.334823961379042911e-01,7.582006410687807119e-01,9.433903308910858154e-01,2.316000108170630511e-01,4.862916862252435468e-01,1.329035802080817952e-01,1.961427305212033456e-01,8.852722872281134636e-01,5.888141580568831968e-01,1.152241908304050266e-01,3.099695938382018845e-02,2.989279962300896987e-01,1.736455543465127427e-01,2.504246377026314585e-01,2.469741425325776563e-01,5.105154045428832443e-01,5.187660664275508537e-01,6.583726676015492218e-01,4.762774313936370962e-01,7.220246894159845219e-01,3.906754061208916884e-01,2.472269643825407703e-01,5.470568013032650612e-01,8.482560249226651639e-01,6.741289018236854558e-01,2.911503728229046795e-01,9.449164725572266610e-01,8.952908311698716259e-01,9.572916543419012214e-01,3.138368528369873678e-01,9.159234176547179640e-01,8.732993790109403465e-01,5.007572319414939077e-01,7.464890453813577409e-02,2.510759161411216800e-01,9.771647429297538601e-01,2.900159618912031556e-01,5.994076075147760641e-01,2.259109744366684103e-01,2.380994154757110071e-02,2.988568854988735701e-01,4.581001516717315702e-01,5.783499905833358046e-01,3.539752155186246529e-01,6.097803144563078703e-01,2.628128719216162867e-01,7.826873151501091419e-01
8.354541161353501444e-02,9.954853636950211637e-01,4.746678932113865823e-01,3.573688397017563689e-01,9.524022261872723272e-01,5.567686045711242038e-01,5.036439915921919752e-02,9.944322166271493124e-01,8.277931405086370598e-01,1.211723077591693176e-01,9.699634554052229962e-01,6.008795503256555426e-01,5.970625577043957577e-01,7.917183653834690693e-01,5.970871407568757450e-01,3.935489898674501275e-01,6.960741046225575879e-01,1.990697629990708650e-01,6.935311147000887688e-01,3.882468162421317537e-01,6.151321886417379092e-01,6.312975193061097778e-01,2.622219143401594010e-01,3.232973368897541500e-01,6.424223416475487447e-01,9.788446088585623928e-01,5.372698819548062943e-01,9.217282676768588923e-01,2.965352995326608898e-01,6.830994315970330133e-01,2.262425742086647817e-01,7.142261668198229829e-01,9.217005189367009077e-01,3.159632507538866486e-01,7.856015784627339293e-01,6.066711829133925038e-01,3.839642050946323604e-02,8.816286710684284600e-01,8.312824145648270990e-01,4.914312460517132886e-01,2.271711905388189567e-01,4.254698242801213670e-02,1.944049396705838095e-01,7.867673480787786833e-01,7.912764933855743754e-01,4.098444215504553068e-01,5.196301945771284458e-01,9.110554750078502240e-01,4.748083396775304443e-01,9.571965033853789828e-01
7.245382465262816263e-01,2.943274027517042146e-01,6.344885143055590815e-01,3.643192101359882251e-02,1.989046184223209890e-01,4.168525187599048110e-02,2.538829156813997567e-01,1.303721558061576857e-02,5.909719901243988271e-01,2.728560814710073723e-01,3.647575887036946796e-02,2.347176248548576982e-01,2.086609336751039656e-01,3.912806607056966701e-01,5.965228437378460313e-01,3.330925364592570714e-01,1.948449129503753152e-01,5.100555833470533651e-01,4.468511947918257787e-01,8.582839801175201622e-01,4.969541481827212115e-01,1.003290617742291779e-03,7.476200479352699269e-01,4.550252859619364765e-01,4.078389636888992698e-01,9.656339777700362337e-02,1.007996005871125700e-01,9.329910415532560730e-01,9.458794130044688719e-01,2.215177559950208819e-01,8.303871952868472350e-01,9.969954507165676993e-01,3.734407854691065287e-01,4.279093766246701014e-01,8.838329109828058083e-01,3.592774966268164061e-02,4.491016062000708908e-01,3.689190787380536296e-02,6.847014073025788905e-01,2.108675682183172029e-01,3.686189584422298049e-01,6.125897222250927809e-01,6.159004971967990683e-01,8.456130784365557540e-01,5.448484099009575088e-01,7.994172133276234993e-01,4.335928200802565691e-01,4.586373786424884358e-01,6.832799039604431357e-02,9.412934607320588842e-01
9.096402395395069007e-01,2.104463184002954845e-01,3.417449055278398706e-02,5.249688609436818920e-01,9.626982908517124349e-01,6.789350899641297676e-01,6.290568142548497166e-01,6.458016367817804859e-01,7.455662026303824241e-01,2.039680050939186584e-01,2.590087496417310398e-01,3.597423369435045482e-01,8.611471306854906471e-01,6.423373253494276680e-01,5.897896846731609521e-01,8.009367549840151757e-02,3.457884257347582091e-01,2.108519391818309829e-01,7.627288339195504863e-01,9.169639675074797713e-01,1.943371147193584392e-02,2.693714090623245960e-01,3.931201012273990436e-01,9.793720793769488120e-01,1.057936543819049113e-02,5.169304187350465263e-01,2.971121672150661697e-01,3.618560642418663376e-01,4.774500694325101158e-02,9.313304634458811071e-01,2.507834300223861224e-01,5.740971284645586259e-01,8.719473977326801517e-01,7.821032431892862569e-01,1.882843743036308748e-01,3.697654217591019865e-01,4.328438383516586274e-01,4.609072387896886447e-01,4.117397001947258328e-01,4.117651938264633715e-01,7.765186826367823647e-01,1.630609242827725236e-01,6.993069680143846334e-01,5.937587559951473803e-01,9.227270754202301362e-01,4.964433030868253827e-02,2.865310445100984760e-01,1.273532024951944397e-01,3.736362997720505952e-01,1.992004635917870026e-01
1.744370219668860411e-01,2.209980604886769839e-01,1.217216792771773637e-01,8.114051715744260429e-01,9.780835373119537435e-01,7.982950544606747245e-01,4.373253837983719361e-01,4.578661919901794164e-02,7.862418373650450487e-01,1.738445485255268874e-02,2.455442100131313143e-01,6.328043614920899618e-01,9.851904750066071692e-01,7.520021038977742212e-01,3.732636478627545662e-01,7.528613366473133617e-01,8.061962388389698475e-02,7.644263900162233671e-01,9.135589951673738218e-01,9.330466932198862029e-01,8.366265708941922341e-02,7.622847056560481116e-01,8.163972948567438381e-01,5.103000977034657382e-01,9.296030497304672569e-01,3.067940090296469302e-01,5.710532586342929040e-01,7.404700610959840112e-01,7.984295330864148443e-01,9.385106191152479127e-01,9.118146316570963084e-02,4.104769701106236734e-01,1.697130404682097859e-01,2.921820087386778342e-01,2.312707624522042371e-01,3.569048708108685242e-01,7.899386391119432860e-01,3.256797815614741465e-01,4.427411922996058458e-01,4.639935139927383601e-01,5.306160534823640695e-01,6.056307980263555546e-01,3.864882767604372882e-01,5.208000934897565326e-01,6.071911853095414147e-01,3.889669017982932964e-02,8.085056003772497224e-01,7.441873511783101414e-01,3.267065625019346387e-01,7.057620013284618965e-01
